2025-11-14 15:34:24 | INFO | app | Emission agrégée: {0: ['Souris-01', 'Souris-02', 'Souris-03', 'Souris-04'], 1: ['Souris-01', 'Souris-02', 'Souris-03', 'Souris-04'], 2: ['Souris-01', 'Souris-02', 'Souris-03', 'Souris-04'], 3: ['Souris-01', 'Souris-03', 'Souris-04'], 4: ['Souris-01', 'Souris-03', 'Souris-04'], 5: ['Souris-01', 'Souris-03', 'Souris-04'], 6: ['Souris-01', 'Souris-03', 'Souris-04'], 7: ['Souris-01', 'Souris-03', 'Souris-04']}
2025-11-14 15:34:24 | INFO | app | Emission agrégée: {7: ['Souris-01', 'Souris-03', 'Souris-04'], 0: ['Souris-01', 'Souris-03', 'Souris-04'], 1: ['Souris-01', 'Souris-03', 'Souris-04'], 2: ['Souris-01', 'Souris-03', 'Souris-04'], 3: ['Souris-01', 'Souris-03', 'Souris-04'], 4: ['Souris-01', 'Souris-03', 'Souris-04'], 5: ['Souris-01', 'Souris-03', 'Souris-04'], 6: ['Souris-01', 'Souris-03', 'Souris-04']}
2025-11-14 15:34:25 | INFO | app | Emission agrégée: {7: ['Souris-01', 'Souris-03', 'Souris-04'], 0: ['Souris-01', 'Souris-03', 'Souris-04'], 1: ['Souris-01', 'Souris-03', 'Souris-04'], 2: ['Souris-01', 'Souris-03', 'Souris-04'], 3: ['Souris-01', 'Souris-03', 'Souris-04'], 4: ['Souris-01', 'Souris-03', 'Souris-04'], 5: ['Souris-01', 'Souris-03', 'Souris-04'], 6: ['Souris-01', 'Souris-03', 'Souris-04']}
2025-11-14 15:34:26 | INFO | app | Emission agrégée: {7: ['Souris-01', 'Souris-03', 'Souris-04'], 0: ['Souris-01', 'Souris-03', 'Souris-04'], 1: ['Souris-01', 'Souris-03', 'Souris-04'], 2: ['Souris-01', 'Souris-03', 'Souris-04'], 3: ['Souris-01', 'Souris-03', 'Souris-04'], 4: ['Souris-01', 'Souris-03', 'Souris-04'], 5: ['Souris-01', 'Souris-03', 'Souris-04'], 6: ['Souris-01', 'Souris-03', 'Souris-04']}
2025-11-14 15:34:26 | INFO | app | Emission agrégée: {6: ['Souris-01', 'Souris-03', 'Souris-04'], 7: ['Souris-01', 'Souris-03', 'Souris-04'], 0: ['Souris-01', 'Souris-03', 'Souris-04'], 1: ['Souris-01', 'Souris-03', 'Souris-04'], 2: ['Souris-01', 'Souris-03', 'Souris-04'], 3: ['Souris-01', 'Souris-03', 'Souris-04'], 4: ['Souris-01', 'Souris-03', 'Souris-04'], 5: ['Souris-01', 'Souris-03', 'Souris-04']}
2025-11-14 15:34:27 | INFO | app | Emission agrégée: {6: ['Souris-01', 'Souris-03', 'Souris-04'], 7: ['Souris-01', 'Souris-03', 'Souris-04'], 0: ['Souris-01', 'Souris-03', 'Souris-04'], 1: ['Souris-01', 'Souris-03', 'Souris-04'], 2: ['Souris-01', 'Souris-03', 'Souris-04'], 3: ['Souris-01', 'Souris-03', 'Souris-04'], 4: ['Souris-01', 'Souris-03', 'Souris-04'], 5: ['Souris-01', 'Souris-03', 'Souris-04']}
2025-11-14 15:34:28 | INFO | app | Emission agrégée: {6: ['Souris-01', 'Souris-03', 'Souris-04'], 7: ['Souris-01', 'Souris-03', 'Souris-04'], 0: ['Souris-01', 'Souris-03', 'Souris-04'], 1: ['Souris-01', 'Souris-03', 'Souris-04'], 2: ['Souris-01', 'Souris-03', 'Souris-04'], 3: ['Souris-01', 'Souris-03', 'Souris-04'], 4: ['Souris-01', 'Souris-03', 'Souris-04'], 5: ['Souris-01', 'Souris-03', 'Souris-04']}
2025-11-14 15:34:28 | INFO | app | Emission agrégée: {6: ['Souris-01', 'Souris-03', 'Souris-04'], 7: ['Souris-01', 'Souris-03', 'Souris-04'], 0: ['Souris-01', 'Souris-03', 'Souris-04'], 1: ['Souris-01', 'Souris-03', 'Souris-04', 'Souris-06'], 2: ['Souris-01', 'Souris-03', 'Souris-04', 'Souris-06'], 3: ['Souris-01', 'Souris-03', 'Souris-04', 'Souris-06'], 4: ['Souris-01', 'Souris-03', 'Souris-04'], 5: ['Souris-01', 'Souris-03', 'Souris-04']}
2025-11-14 15:34:29 | INFO | app | Emission agrégée: {4: ['Souris-01', 'Souris-03', 'Souris-06', 'Souris-07'], 5: ['Souris-03', 'Souris-06', 'Souris-07'], 6: ['Souris-03', 'Souris-06', 'Souris-07'], 7: ['Souris-03', 'Souris-06', 'Souris-07'], 0: ['Souris-03', 'Souris-06', 'Souris-07'], 1: ['Souris-03', 'Souris-06', 'Souris-07'], 2: ['Souris-03', 'Souris-06', 'Souris-07', 'Souris-08'], 3: ['Souris-03', 'Souris-06', 'Souris-07', 'Souris-08']}
2025-11-14 15:34:29 | INFO | app | Emission agrégée: {4: ['Souris-03', 'Souris-07', 'Souris-08'], 5: ['Souris-03', 'Souris-07', 'Souris-08'], 6: ['Souris-03', 'Souris-07', 'Souris-08'], 7: ['Souris-03', 'Souris-07', 'Souris-08'], 0: ['Souris-03', 'Souris-07', 'Souris-08'], 1: ['Souris-03', 'Souris-07', 'Souris-08'], 2: ['Souris-03', 'Souris-07', 'Souris-08'], 3: ['Souris-03', 'Souris-07', 'Souris-08']}
